type_propusk,method_zapolnenia,name_dataset,RMSE,MAE,R2,KL_divergence_median,KL_divergence_max,KS_statistic_median,KS_statistic_max,Wasserstein_2_median,Wasserstein_2_max,kl_w_vs_w_hat,ks_w_vs_w_hat,wasserstein_2_w_vs_w_hat,mean_ratio,model_R2,model_F1
MAR_15,NUL_MODE,2dplanes_binclass_binaryClass.csv,0.4392352537151128,0.1236977308405879,0.7161380495932206,0.0748021064843893,0.1234751411422078,0.0996860282574567,0.1012068288854003,0.3890298080131688,0.5501712306596247,11.295966486957749,0.926,0.1515605172755608,10.337863253076591,,0.7873947147285876
MAR_15,missForest,2dplanes_binclass_binaryClass.csv,0.4365209283730435,0.1224578992436135,0.7196355511435757,0.0823965235079281,0.1107177266397607,0.0179307299843014,0.0432201726844583,0.1757329347737845,0.2567762955065477,2.4273674165717307,0.802,0.0389879246912025,3.419068587663975,,0.7844253268967035
MAR_30,MEAN_MODE,2dplanes_binclass_binaryClass.csv,0.6399019097622004,0.2548656700442415,0.3975241888474526,0.1329968145246379,0.2272292511232302,0.199028649921507,0.202340070643642,0.5475792309143294,0.7721099961494128,18.735329882315654,0.98,0.3182337135183182,19.975806944750868,,0.7411801077003121
MAR_30,MEDIAN_MODE,2dplanes_binclass_binaryClass.csv,0.6399019097622004,0.2548656700442415,0.3975241888474526,0.1329968145246379,0.2272292511232302,0.199028649921507,0.202340070643642,0.5475792309143294,0.7721099961494128,18.735329882315654,0.98,0.3182337135183182,19.975806944750868,,0.7411801077003121
MAR_30,MICE,2dplanes_binclass_binaryClass.csv,0.5855922151735061,0.2263963714856572,0.4954509512990944,0.1651022393411716,0.1713439663863991,0.0030906593406593,0.0040963500784929,0.0700414768350657,0.0863529321181412,0.7002094300349966,0.172,0.0017933503290169,1.153401209599887,,0.8452193969929735
MAR_30,NUL_MODE,2dplanes_binclass_binaryClass.csv,0.6399019097622004,0.2548656700442415,0.3975241888474526,0.1329968145246379,0.2272292511232302,0.199028649921507,0.202340070643642,0.5475792309143294,0.7721099961494128,18.735329882315654,0.98,0.3182337135183182,19.975806944750868,,0.7411801077003121
MAR_30,missForest,2dplanes_binclass_binaryClass.csv,0.6317478602470985,0.2511506350792065,0.4127806449535984,0.163939344918321,0.225576304524509,0.06912284144427,0.1265453296703296,0.3256740383848012,0.4402317161373651,14.373405264227756,0.924,0.1434154027661257,9.467773219778996,,0.7319185758770294
MAR_50,MEAN_MODE,2dplanes_binclass_binaryClass.csv,0.8256593582766469,0.4240201762523191,-0.0030316055006791,0.1913250059511784,0.3355212472797629,0.331706240188383,0.3349686028257457,0.7066730318473639,0.9961168719613004,0.6576652602431136,1.0,0.5476948706401722,34.33972886807731,,0.6798663891727615
MAR_50,MEDIAN_MODE,2dplanes_binclass_binaryClass.csv,0.8256593582766469,0.4240201762523191,-0.0030316055006791,0.1913250059511784,0.3355212472797629,0.331706240188383,0.3349686028257457,0.7066730318473639,0.9961168719613004,0.6576652602431136,1.0,0.5476948706401722,34.33972886807731,,0.6798663891727615
MAR_50,MICE,2dplanes_binclass_binaryClass.csv,0.7573362121873489,0.3791587876409305,0.1561014340821778,0.2734798609833303,0.2847157057028001,0.0064020800627943,0.0134664442700156,0.1045942297846234,0.1536129511971897,1.4613658836363306,0.434,0.005442802665683,1.4338249475341176,,0.8410732432168869
MAR_50,NUL_MODE,2dplanes_binclass_binaryClass.csv,0.8256593582766469,0.4240201762523191,-0.0030316055006791,0.1913250059511784,0.3355212472797629,0.331706240188383,0.3349686028257457,0.7066730318473639,0.9961168719613004,0.6576652602431136,1.0,0.5476948706401722,34.33972886807731,,0.6798663891727615
MAR_50,missForest,2dplanes_binclass_binaryClass.csv,0.8228823516368331,0.4223053731982303,0.0037042018941417,0.2506218786677928,0.3699103136779847,0.174131671899529,0.2541699372056514,0.5162679290526275,0.6222269722726168,0.6576652602431136,1.0,0.3278407140127717,20.62072604651896,,0.6618746060157532
MCAR_5,KNN15,2dplanes_binclass_binaryClass.csv,0.1846404033307827,0.0342036009578723,0.9498389888135093,0.0161835460863543,0.0210337251789584,0.3250098116169545,0.3345516091051805,0.1417070623746094,0.181084875030673,8.57104302298996,0.726,0.011916671725333,1.8824357116255463,,0.8256432241975364
MCAR_5,MEAN_MODE,2dplanes_binclass_binaryClass.csv,0.2605436812653409,0.0424174040245468,0.900121067358432,0.0269150717699059,0.0401295020395261,0.0327953296703296,0.0340463108320251,0.2219883919349076,0.3151088122843883,3.046151239528577,0.766,0.0422784506864326,3.5701124464140963,,0.8142557309729476
MCAR_5,MEDIAN_MODE,2dplanes_binclass_binaryClass.csv,0.2605436812653409,0.0424174040245468,0.900121067358432,0.0269150717699059,0.0401295020395261,0.0327953296703296,0.0340463108320251,0.2219883919349076,0.3151088122843883,3.046151239528577,0.766,0.0422784506864326,3.5701124464140963,,0.8142557309729476
MCAR_5,MICE,2dplanes_binclass_binaryClass.csv,0.2382954744094374,0.0374647673754816,0.9164503968294616,0.026802886948305,0.0303813489803519,0.0007358712715854,0.0013736263736263,0.0288788407165228,0.0505076272276105,0.3706204064690254,0.044,0.0003368878819374,1.0192580823190864,,0.8379049224542804
